Task;Timestamp;ComplTime;InitAngErr;EstPathLen;RecallTime
MW1;2023/04/20_11:15:49.810;4.855556;21.09261;204.6221;0.03070831;
MW2;2023/04/20_11:15:58.931;6.162045;41.87808;249.2105;0.02061462;
MW3;2023/04/20_11:16:07.971;6.633224;62.17508;401.7434;0.03225708;
MW4;2023/04/20_11:16:22.496;10.46038;90.51326;1190.495;0.02120972;
MW5;2023/04/20_11:16:35.735;7.711975;119.0549;374.8835;0.02143097;
MW6;2023/04/20_11:16:52.883;7.763565;52.95758;652.6312;0.009513855;
